region,sexo,edad,educc,activ,yoprcor,ypchtotcor,pueblos_indigenas,lugar_nac,pobreza
8,Hombre,48,Superior incompleta,Inactivo/a,NA,139125,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Hombre,72,Superior completa,Ocupado/a,2000000,1083333,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,57,Básica incompleta,Inactivo/a,NA,571287,Pertenece,Nacido/a en Chile,No pobre
1,Mujer,16,Media incompleta,Inactivo/a,NA,450167,Pertenece,Nacido/a en Chile,No pobre
15,Hombre,73,Media incompleta,Inactivo/a,NA,254200,Pertenece,Nacido/a en Chile,Pobreza multidimensional
13,Hombre,33,Superior completa,Ocupado/a,2350000,1969375,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,18,Media completa,Inactivo/a,NA,210000,No pertenece,Nacido/a en Chile,Pobreza severa
7,Mujer,62,Media completa,Inactivo/a,NA,191667,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,9,Básica incompleta,NA,NA,163327,No pertenece,Nacido/a en Chile,Pobreza por ingresos
11,Mujer,90,Básica incompleta,Inactivo/a,NA,680000,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,13,Básica incompleta,NA,NA,125000,No pertenece,Nacido/a fuera de Chile,Pobreza por ingresos
2,Hombre,11,Básica incompleta,NA,NA,668695,No pertenece,Nacido/a en Chile,No pobre
10,Mujer,7,Básica incompleta,NA,NA,429079,Pertenece,Nacido/a en Chile,No pobre
13,Hombre,64,Superior completa,Ocupado/a,760000,705000,No pertenece,Nacido/a fuera de Chile,NA
9,Hombre,51,Media completa,Ocupado/a,590000,280514,Pertenece,Nacido/a en Chile,No pobre
5,Hombre,16,Media incompleta,Inactivo/a,NA,78356,No pertenece,Nacido/a en Chile,Pobreza severa
6,Hombre,57,Media completa,Ocupado/a,100000,484167,Pertenece,Nacido/a en Chile,Pobreza multidimensional
5,Mujer,38,Media completa,Ocupado/a,810000,311396,No pertenece,Nacido/a en Chile,No pobre
7,Hombre,3,Sin educación formal,NA,NA,187935,No pertenece,Nacido/a en Chile,Pobreza por ingresos
16,Mujer,70,Media completa,Inactivo/a,NA,531933,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,2,Sin educación formal,NA,NA,237500,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Hombre,21,Media incompleta,Inactivo/a,NA,150293,Pertenece,Nacido/a en Chile,Pobreza severa
5,Hombre,34,Media completa,Ocupado/a,800000,318224,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,27,Media completa,Inactivo/a,NA,135622,No pertenece,Nacido/a en Chile,Pobreza por ingresos
7,Mujer,35,Superior completa,Ocupado/a,1000000,675000,No pertenece,Nacido/a en Chile,No pobre
3,Hombre,23,Superior incompleta,Inactivo/a,NA,373125,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,63,Básica incompleta,Inactivo/a,NA,415711,No pertenece,Nacido/a en Chile,No pobre
4,Hombre,31,Media completa,Ocupado/a,600000,646667,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,32,Superior incompleta,Ocupado/a,480000,787500,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,29,Superior completa,Ocupado/a,5000000,2350000,No pertenece,Nacido/a en Chile,No pobre
12,Hombre,31,Media completa,Ocupado/a,800000,254375,Pertenece,Nacido/a en Chile,No pobre
4,Mujer,86,Básica incompleta,Inactivo/a,NA,568372,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,36,Superior completa,Ocupado/a,195000,481667,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,58,Superior completa,Ocupado/a,500000,375000,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,23,Sin educación formal,Inactivo/a,NA,438099,No pertenece,Nacido/a en Chile,No pobre
14,Hombre,33,Media completa,Ocupado/a,200000,196178,No pertenece,Nacido/a en Chile,Pobreza por ingresos
9,Hombre,54,Superior completa,Ocupado/a,3000000,1209000,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,58,Superior completa,Ocupado/a,3500000,1463555,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,15,Media incompleta,Inactivo/a,NA,858333,No pertenece,Nacido/a en Chile,No pobre
10,Hombre,60,Superior completa,Ocupado/a,500000,409687,No pertenece,Nacido/a en Chile,NA
8,Mujer,7,Básica incompleta,NA,NA,472843,Pertenece,Nacido/a en Chile,No pobre
5,Hombre,38,Media completa,Ocupado/a,600000,407081,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,1,Sin educación formal,NA,NA,380000,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,61,Básica incompleta,Inactivo/a,NA,471000,No pertenece,Nacido/a en Chile,Pobreza por ingresos
13,Hombre,35,Superior completa,Ocupado/a,1100000,1415000,No pertenece,Nacido/a fuera de Chile,No pobre
15,Hombre,58,Media completa,Inactivo/a,NA,992222,No pertenece,Nacido/a en Chile,No pobre
16,Hombre,57,Básica completa,Desocupado/a,NA,492374,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,9,Básica incompleta,NA,NA,770000,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,10,Básica incompleta,NA,NA,316720,No pertenece,Nacido/a en Chile,Pobreza multidimensional
5,Hombre,23,Media completa,Ocupado/a,150000,359531,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,3,Sin educación formal,NA,NA,162780,No pertenece,Nacido/a en Chile,Pobreza por ingresos
16,Hombre,63,Sin educación formal,Ocupado/a,300000,211292,No pertenece,Nacido/a en Chile,Pobreza por ingresos
14,Hombre,6,Básica incompleta,NA,NA,92156,No pertenece,Nacido/a en Chile,Pobreza severa
9,Mujer,48,Superior incompleta,Inactivo/a,NA,290414,No pertenece,Nacido/a en Chile,No pobre
4,Mujer,51,Media completa,Ocupado/a,300000,613658,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,25,Superior completa,Ocupado/a,500000,325543,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,14,Básica completa,NA,NA,11750,No pertenece,Nacido/a en Chile,Pobreza por ingresos
12,Mujer,35,Superior completa,Inactivo/a,NA,502708,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,25,Superior incompleta,Ocupado/a,800000,601042,No pertenece,Nacido/a fuera de Chile,No pobre
12,Mujer,52,Media completa,Ocupado/a,600000,527500,Pertenece,Nacido/a en Chile,No pobre
7,Hombre,78,Superior completa,Inactivo/a,NA,1100000,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,62,Media incompleta,Ocupado/a,1500000,1212361,Pertenece,Nacido/a en Chile,No pobre
7,Mujer,7,Básica incompleta,NA,NA,336815,No pertenece,Nacido/a en Chile,No pobre
12,Mujer,33,Media completa,Inactivo/a,NA,547527,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,24,Básica completa,Inactivo/a,NA,500762,No pertenece,Nacido/a en Chile,No pobre
3,Hombre,52,Básica incompleta,Ocupado/a,500000,158769,Pertenece,Nacido/a en Chile,Pobreza severa
6,Hombre,70,Básica incompleta,Inactivo/a,NA,808250,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,77,Básica completa,Inactivo/a,NA,345499,Pertenece,Nacido/a en Chile,No pobre
6,Hombre,34,Básica completa,Inactivo/a,NA,123104,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Mujer,4,Sin educación formal,NA,NA,265801,No pertenece,Nacido/a en Chile,Pobreza multidimensional
5,Mujer,23,Superior completa,Inactivo/a,NA,82134,No pertenece,Nacido/a en Chile,Pobreza por ingresos
11,Hombre,58,Superior completa,Inactivo/a,NA,433333,No pertenece,Nacido/a en Chile,No pobre
12,Mujer,6,Sin educación formal,NA,NA,413533,No pertenece,Nacido/a en Chile,No pobre
4,Mujer,37,Superior completa,Ocupado/a,900000,487500,No pertenece,Nacido/a en Chile,No pobre
15,Hombre,61,Superior completa,Ocupado/a,580000,445000,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,10,Básica incompleta,NA,NA,316074,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,33,Superior completa,Ocupado/a,950000,1617917,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,74,Superior completa,Inactivo/a,NA,614296,No pertenece,Nacido/a en Chile,No pobre
12,Hombre,49,Media completa,Ocupado/a,900000,530792,Pertenece,Nacido/a en Chile,No pobre
10,Mujer,31,Media completa,Desocupado/a,NA,294224,Pertenece,Nacido/a en Chile,No pobre
7,Hombre,58,Media completa,Desocupado/a,NA,270000,No pertenece,Nacido/a en Chile,Pobreza severa
13,Mujer,30,Superior incompleta,Inactivo/a,NA,552572,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,54,Media incompleta,Ocupado/a,500000,290083,Pertenece,Nacido/a en Chile,Pobreza multidimensional
9,Hombre,40,Superior completa,Ocupado/a,6000000,6450000,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,52,Media incompleta,Ocupado/a,500000,407805,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,14,Media incompleta,NA,NA,302667,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,66,Básica incompleta,Inactivo/a,NA,491460,No pertenece,Nacido/a en Chile,Pobreza multidimensional
3,Mujer,25,Superior completa,Ocupado/a,1350000,1370600,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,9,Básica incompleta,NA,NA,207576,No pertenece,Nacido/a en Chile,Pobreza por ingresos
6,Mujer,26,Media completa,Inactivo/a,NA,151333,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Mujer,51,Sin educación formal,Inactivo/a,NA,359021,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,56,Básica completa,Desocupado/a,NA,406331,No pertenece,Nacido/a en Chile,Pobreza multidimensional
12,Hombre,82,Sin educación formal,Ocupado/a,550000,964296,No pertenece,Nacido/a en Chile,No pobre
4,Mujer,19,Media completa,Inactivo/a,NA,266247,No pertenece,Nacido/a en Chile,Pobreza por ingresos
7,Hombre,35,Media completa,Ocupado/a,400000,700000,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,23,Superior incompleta,Ocupado/a,600000,353971,No pertenece,Nacido/a en Chile,No pobre
16,Hombre,24,Superior incompleta,Ocupado/a,500000,366667,No pertenece,Nacido/a en Chile,Pobreza multidimensional
5,Mujer,82,Media completa,Inactivo/a,NA,900000,No pertenece,Nacido/a en Chile,No pobre
6,Mujer,51,Media completa,Ocupado/a,500000,320146,No pertenece,Nacido/a en Chile,No pobre
1,Mujer,10,Básica incompleta,NA,NA,570000,No pertenece,Nacido/a en Chile,No pobre
3,Mujer,1,Sin educación formal,NA,NA,571945,No pertenece,Nacido/a en Chile,No pobre
4,Mujer,28,Superior incompleta,Inactivo/a,NA,537000,Pertenece,Nacido/a en Chile,No pobre
13,Mujer,64,Superior completa,Inactivo/a,NA,247106,No pertenece,Nacido/a en Chile,Pobreza multidimensional
5,Hombre,16,Media incompleta,Inactivo/a,NA,425456,No pertenece,Nacido/a en Chile,No pobre
7,Hombre,24,Media completa,Ocupado/a,800000,389150,No pertenece,Nacido/a fuera de Chile,No pobre
6,Mujer,49,Superior completa,Ocupado/a,900000,1066667,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,69,Media incompleta,Ocupado/a,140000,815000,No pertenece,Nacido/a en Chile,Pobreza multidimensional
8,Mujer,22,Superior incompleta,Inactivo/a,NA,312500,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,46,Media completa,Ocupado/a,600000,634159,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,71,Básica incompleta,Inactivo/a,NA,566287,No pertenece,Nacido/a en Chile,Pobreza por ingresos
14,Hombre,40,Media completa,Ocupado/a,500000,444648,No pertenece,Nacido/a en Chile,No pobre
4,Hombre,15,Media incompleta,Inactivo/a,NA,570417,Pertenece,Nacido/a en Chile,No pobre
12,Mujer,24,Media completa,Ocupado/a,550000,670000,Pertenece,Nacido/a en Chile,No pobre
16,Hombre,50,Básica completa,Ocupado/a,200000,210510,No pertenece,Nacido/a en Chile,Pobreza por ingresos
4,Hombre,68,Media incompleta,Inactivo/a,NA,542859,No pertenece,Nacido/a en Chile,No pobre
7,Hombre,78,Básica incompleta,Inactivo/a,NA,344667,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,1,Sin educación formal,NA,NA,1119167,No pertenece,Nacido/a en Chile,No pobre
12,Mujer,16,Media incompleta,Inactivo/a,NA,300992,No pertenece,Nacido/a en Chile,Pobreza multidimensional
1,Hombre,80,Media incompleta,Inactivo/a,NA,433898,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,55,Media completa,Ocupado/a,450000,686667,Pertenece,Nacido/a en Chile,No pobre
13,Mujer,38,Media completa,Ocupado/a,700000,379118,No pertenece,Nacido/a fuera de Chile,Pobreza multidimensional
7,Mujer,2,Sin educación formal,NA,NA,141161,No pertenece,Nacido/a en Chile,Pobreza por ingresos
4,Hombre,35,Superior completa,Ocupado/a,700000,514765,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,49,Media completa,Ocupado/a,300000,370972,No pertenece,Nacido/a en Chile,No pobre
15,Hombre,10,Básica incompleta,NA,NA,137264,No pertenece,Nacido/a en Chile,Pobreza por ingresos
1,Mujer,29,Superior completa,Ocupado/a,150000,353156,No pertenece,Nacido/a en Chile,No pobre
14,Mujer,6,Sin educación formal,NA,NA,604272,No pertenece,Nacido/a en Chile,NA
6,Hombre,4,Sin educación formal,NA,NA,1345834,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,21,Media completa,Ocupado/a,500000,510669,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,39,Superior completa,Ocupado/a,750000,791696,No pertenece,Nacido/a en Chile,No pobre
14,Mujer,24,Media completa,Ocupado/a,500000,635482,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,45,Media completa,Ocupado/a,700000,283007,No pertenece,Nacido/a en Chile,No pobre
16,Hombre,3,Sin educación formal,NA,NA,159627,No pertenece,Nacido/a en Chile,Pobreza por ingresos
4,Hombre,70,Básica completa,Inactivo/a,NA,520795,No pertenece,Nacido/a en Chile,Pobreza por ingresos
14,Hombre,9,Básica incompleta,NA,NA,428734,Pertenece,Nacido/a en Chile,No pobre
13,Hombre,21,Media completa,Ocupado/a,660000,786667,No pertenece,Nacido/a en Chile,No pobre
11,Mujer,53,Media completa,Ocupado/a,430000,455000,Pertenece,Nacido/a en Chile,No pobre
15,Hombre,32,Media completa,Ocupado/a,550000,553746,Pertenece,Nacido/a en Chile,Pobreza multidimensional
6,Hombre,36,Básica completa,Ocupado/a,200000,241918,No pertenece,Nacido/a en Chile,Pobreza multidimensional
1,Mujer,63,Media completa,Inactivo/a,NA,878750,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,60,Media completa,Ocupado/a,800000,902333,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,20,Media completa,Inactivo/a,NA,232102,No pertenece,Nacido/a en Chile,Pobreza severa
13,Hombre,30,Superior completa,Ocupado/a,615000,741528,No pertenece,Nacido/a en Chile,No pobre
14,Mujer,26,Superior completa,Inactivo/a,NA,224303,No pertenece,Nacido/a en Chile,Pobreza por ingresos
5,Hombre,18,Media completa,Desocupado/a,NA,331667,No pertenece,Nacido/a en Chile,No pobre
15,Hombre,40,Básica completa,Ocupado/a,180000,143293,No pertenece,Nacido/a en Chile,Pobreza por ingresos
6,Mujer,39,Superior completa,Ocupado/a,680000,437893,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,6,Sin educación formal,NA,NA,173314,Pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Hombre,34,Media completa,Ocupado/a,500000,476320,No pertenece,Nacido/a en Chile,Pobreza multidimensional
7,Mujer,16,Media incompleta,Inactivo/a,NA,193340,No pertenece,Nacido/a en Chile,Pobreza por ingresos
11,Hombre,58,Superior completa,Ocupado/a,2500000,1900000,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,20,Media completa,Inactivo/a,NA,314789,No pertenece,Nacido/a en Chile,NA
2,Hombre,22,Media completa,Ocupado/a,600000,780000,Pertenece,Nacido/a fuera de Chile,No pobre
3,Mujer,48,Media completa,Ocupado/a,500000,790000,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,49,Media incompleta,Inactivo/a,NA,662500,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,32,Media completa,Ocupado/a,450000,389464,No pertenece,Nacido/a en Chile,No pobre
4,Hombre,60,Media completa,Ocupado/a,500000,340833,No pertenece,Nacido/a en Chile,Pobreza multidimensional
8,Hombre,7,Básica incompleta,NA,NA,770959,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,91,Media completa,Inactivo/a,NA,370590,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,62,Media completa,Inactivo/a,NA,1145833,No pertenece,Nacido/a en Chile,No pobre
1,Hombre,39,Media completa,Ocupado/a,800000,345000,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,50,Media completa,Desocupado/a,NA,262811,No pertenece,Nacido/a en Chile,Pobreza por ingresos
10,Hombre,56,Media completa,Ocupado/a,1200000,625851,No pertenece,Nacido/a en Chile,No pobre
12,Mujer,72,Media incompleta,Ocupado/a,400000,598500,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,13,Básica incompleta,NA,NA,319821,No pertenece,Nacido/a en Chile,Pobreza por ingresos
2,Hombre,42,Media completa,Ocupado/a,1200000,870785,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,67,Media completa,Inactivo/a,NA,330431,No pertenece,Nacido/a en Chile,No pobre
2,Hombre,21,Superior incompleta,Inactivo/a,NA,451802,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,58,Superior completa,Ocupado/a,1500000,1375000,No pertenece,Nacido/a en Chile,No pobre
10,Mujer,44,Media completa,Ocupado/a,550000,513153,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,58,Básica incompleta,Ocupado/a,700000,466667,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,41,Media completa,Ocupado/a,500000,327482,No pertenece,Nacido/a en Chile,No pobre
11,Mujer,72,Superior completa,Inactivo/a,NA,564765,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,44,Superior incompleta,Ocupado/a,500000,748611,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,48,Media completa,Ocupado/a,600000,200000,No pertenece,Nacido/a en Chile,Pobreza severa
7,Mujer,8,Sin educación formal,NA,NA,136549,No pertenece,Nacido/a en Chile,Pobreza severa
8,Mujer,80,Básica incompleta,Inactivo/a,NA,556499,No pertenece,Nacido/a en Chile,No pobre
3,Hombre,52,Básica incompleta,Desocupado/a,NA,257148,Pertenece,Nacido/a en Chile,Pobreza multidimensional
2,Hombre,42,Media completa,Ocupado/a,1500000,333333,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,59,Media completa,Ocupado/a,700000,240405,Pertenece,Nacido/a en Chile,Pobreza por ingresos
14,Mujer,16,Media incompleta,Inactivo/a,NA,169086,Pertenece,Nacido/a en Chile,Pobreza severa
12,Hombre,72,Media incompleta,Inactivo/a,NA,695395,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,37,Superior incompleta,Ocupado/a,720000,457417,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,48,Media completa,Inactivo/a,NA,153411,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Hombre,27,Superior incompleta,Ocupado/a,550000,241726,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Mujer,47,Superior completa,Ocupado/a,450000,426389,No pertenece,Nacido/a en Chile,No pobre
3,Hombre,8,Básica incompleta,NA,NA,157131,Pertenece,Nacido/a en Chile,Pobreza por ingresos
5,Hombre,64,Básica incompleta,Inactivo/a,NA,653598,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,71,Media incompleta,Inactivo/a,NA,828250,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,35,Superior completa,Ocupado/a,2500000,2620000,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,26,Media incompleta,Ocupado/a,400000,334859,No pertenece,Nacido/a en Chile,No pobre
4,Hombre,56,Media completa,Ocupado/a,430000,533775,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,7,Básica incompleta,NA,NA,310094,No pertenece,Nacido/a en Chile,NA
5,Hombre,50,Media incompleta,Ocupado/a,600000,665468,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,75,Básica completa,Inactivo/a,NA,580365,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,38,Superior incompleta,Ocupado/a,680000,412335,Pertenece,Nacido/a en Chile,No pobre
5,Hombre,22,Superior incompleta,Inactivo/a,NA,629593,No pertenece,Nacido/a en Chile,No pobre
16,Hombre,56,Superior completa,Desocupado/a,NA,356245,No pertenece,Nacido/a en Chile,Pobreza por ingresos
5,Mujer,24,Media completa,Ocupado/a,500000,450000,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,15,Media incompleta,Inactivo/a,NA,251000,Pertenece,Nacido/a en Chile,Pobreza por ingresos
11,Hombre,93,Básica completa,Inactivo/a,NA,554210,No pertenece,Nacido/a en Chile,No pobre
16,Hombre,78,Básica completa,Inactivo/a,NA,305824,No pertenece,Nacido/a en Chile,No pobre
11,Mujer,62,Básica completa,Inactivo/a,NA,390473,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Hombre,55,Básica completa,Inactivo/a,NA,200000,No pertenece,Nacido/a en Chile,Pobreza por ingresos
13,Mujer,27,Superior incompleta,Ocupado/a,300000,978917,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,20,Superior incompleta,Inactivo/a,NA,168574,No pertenece,Nacido/a en Chile,Pobreza severa
5,Hombre,24,Media completa,Ocupado/a,700000,233333,No pertenece,Nacido/a fuera de Chile,Pobreza por ingresos
10,Hombre,64,Básica incompleta,Ocupado/a,NA,420000,No pertenece,Nacido/a en Chile,Pobreza por ingresos
4,Mujer,31,Media completa,Inactivo/a,NA,586085,No pertenece,Nacido/a en Chile,No pobre
2,Hombre,41,Superior incompleta,Ocupado/a,150000,294800,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,59,Media completa,Ocupado/a,350000,264167,No pertenece,Nacido/a en Chile,Pobreza por ingresos
15,Mujer,17,Media incompleta,Inactivo/a,NA,320908,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,26,Superior incompleta,Inactivo/a,NA,416833,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,54,Superior completa,Ocupado/a,2400000,1724509,No pertenece,Nacido/a en Chile,No pobre
16,Mujer,53,Media completa,Inactivo/a,NA,632148,No pertenece,Nacido/a en Chile,No pobre
10,Mujer,25,Media incompleta,Inactivo/a,NA,289571,Pertenece,Nacido/a en Chile,No pobre
5,Hombre,50,Media completa,Ocupado/a,350000,165091,No pertenece,Nacido/a en Chile,Pobreza por ingresos
1,Mujer,37,Superior completa,Ocupado/a,400000,900000,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,23,Superior incompleta,Inactivo/a,NA,441741,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,72,Media incompleta,Inactivo/a,NA,564239,No pertenece,Nacido/a en Chile,No pobre
14,Mujer,20,Media completa,Ocupado/a,500000,352182,No pertenece,Nacido/a en Chile,No pobre
16,Hombre,13,Básica completa,NA,NA,368950,Pertenece,Nacido/a en Chile,Pobreza multidimensional
13,Hombre,22,Superior incompleta,Inactivo/a,NA,426952,No pertenece,Nacido/a en Chile,No pobre
4,Mujer,73,Básica completa,Inactivo/a,NA,190000,No pertenece,Nacido/a en Chile,Pobreza por ingresos
1,Mujer,6,Sin educación formal,NA,NA,514583,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,24,Superior incompleta,Desocupado/a,NA,447396,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,5,Sin educación formal,NA,NA,169103,No pertenece,Nacido/a en Chile,Pobreza severa
2,Mujer,23,Superior incompleta,Inactivo/a,NA,540000,No pertenece,Nacido/a en Chile,No pobre
14,Hombre,13,Básica incompleta,NA,NA,159021,No pertenece,Nacido/a en Chile,Pobreza por ingresos
13,Hombre,52,Media completa,Ocupado/a,600000,648333,No pertenece,Nacido/a fuera de Chile,Pobreza multidimensional
5,Mujer,78,Básica incompleta,Inactivo/a,NA,356499,No pertenece,Nacido/a en Chile,Pobreza por ingresos
2,Hombre,4,Sin educación formal,NA,NA,922222,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,67,Media incompleta,Inactivo/a,NA,631034,No pertenece,Nacido/a en Chile,No pobre
4,Mujer,72,Básica incompleta,Inactivo/a,NA,372023,No pertenece,Nacido/a en Chile,Pobreza por ingresos
10,Mujer,23,Superior incompleta,Ocupado/a,500000,380295,Pertenece,Nacido/a en Chile,No pobre
8,Mujer,61,Media completa,Ocupado/a,300000,336667,No pertenece,Nacido/a en Chile,No pobre
10,Mujer,60,Básica incompleta,Inactivo/a,NA,319580,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,46,Media completa,Desocupado/a,NA,459522,No pertenece,Nacido/a en Chile,No pobre
7,Hombre,70,Básica incompleta,Inactivo/a,NA,295000,No pertenece,Nacido/a en Chile,Pobreza por ingresos
1,Mujer,12,Básica incompleta,NA,NA,165227,No pertenece,Nacido/a en Chile,Pobreza severa
14,Hombre,33,Media completa,Ocupado/a,500000,182330,No pertenece,Nacido/a en Chile,No pobre
16,Mujer,72,Básica completa,Ocupado/a,NA,456563,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,29,Superior completa,Ocupado/a,590000,622368,No pertenece,Nacido/a fuera de Chile,No pobre
10,Mujer,12,Básica incompleta,NA,NA,573417,Pertenece,Nacido/a en Chile,No pobre
16,Hombre,75,Sin educación formal,Inactivo/a,NA,774791,No pertenece,Nacido/a en Chile,No pobre
1,Hombre,8,Básica incompleta,NA,NA,683000,Pertenece,Nacido/a en Chile,No pobre
13,Hombre,35,Básica completa,Inactivo/a,NA,411407,No pertenece,Nacido/a en Chile,No pobre
7,Hombre,10,Básica incompleta,NA,NA,182997,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,15,Media incompleta,Inactivo/a,NA,430898,No pertenece,Nacido/a en Chile,No pobre
16,Hombre,49,Media completa,Ocupado/a,600000,293813,No pertenece,Nacido/a en Chile,No pobre
10,Mujer,32,Superior completa,Ocupado/a,NA,645000,No pertenece,Nacido/a en Chile,No pobre
